country,country_code,year,agriculture_pct_gdp,gdp_usd,gdp_per_capita_usd,inflation_pct,population
Cote d'Ivoire,CIV,2015,18.3620416868752,45815005169.2651,1814.71855088017,1.25149954781468,25246342.0
Cote d'Ivoire,CIV,2016,17.4349684074971,48407761036.8238,1862.59597081287,0.723178457513308,25989405.0
Cote d'Ivoire,CIV,2017,16.9409871496938,52512343996.69,1964.29930338343,0.685881065304603,26733372.0
Cote d'Ivoire,CIV,2018,17.8526014022659,58522477786.6889,2130.86619381144,0.401297817263547,27464173.0
Cote d'Ivoire,CIV,2019,15.6880480775561,60382894697.3557,2141.76836170115,0.790855512053661,28193009.0
Cote d'Ivoire,CIV,2020,16.9334154768944,63027852805.4204,2179.72934832935,2.41252617189053,28915449.0
Cote d'Ivoire,CIV,2021,16.1805529630135,72794636653.7793,2455.98127641148,4.15919657911798,29639736.0
Cote d'Ivoire,CIV,2022,16.5843332097616,70922824813.9102,2333.37128301259,5.23352856100843,30395002.0
Cote d'Ivoire,CIV,2023,15.9442578438607,80780312569.1646,2591.9659048119,4.36972254867474,31165654.0
Cote d'Ivoire,CIV,2024,15.8594343780948,87113179149.284,2727.8935220697,3.45053028131019,31934230.0
Cote d'Ivoire,CIV,2025,16.7636825512357,99773555666.1988,3050.10202257321,0.125038772593104,32711547.0
Ghana,GHA,2000,35.2715219593039,4982850662.20851,253.746936203344,40.240933123914,19637087.0
Ghana,GHA,2001,35.2418001245052,5314872854.4405,263.542156494853,41.509496287803,20167069.0
Ghana,GHA,2002,35.1483770619295,6166197847.85031,297.46164468774,9.36093239560313,20729388.0
Ghana,GHA,2003,36.5454059013539,7632723555.66221,358.39927142073,29.7729797160384,21296705.0
Ghana,GHA,2004,37.9524260930096,8881417906.71432,406.132105329565,18.0427388232565,21868298.0
Ghana,GHA,2005,37.4530129301836,10744568381.4456,478.611909191028,15.4389920155908,22449438.0
Ghana,GHA,2006,28.3330959873622,20885037596.6963,906.441027564887,11.6791839392492,23040702.0
Ghana,GHA,2007,27.294114484663,24827339138.4906,1050.12461524926,10.7342665456292,23642279.0
Ghana,GHA,2008,29.4080967578414,28679383241.0729,1182.65761256016,16.494639613412,24249946.0
Ghana,GHA,2009,30.9933842095403,26048720005.5233,1047.70430093586,19.2469482220857,24862664.0
Ghana,GHA,2010,28.0387379636491,32197655566.5347,1263.89251760539,10.7333898354915,25474995.0
Ghana,GHA,2011,23.663704967184,39336668080.559,1507.43573198753,8.7284593709302,26095088.0
Ghana,GHA,2012,22.1311546901572,41271701060.954,1543.77524235764,11.1863409441067,26734268.0
Ghana,GHA,2013,20.3698425406713,62845721959.827,2294.79584693743,11.6661923071729,27386193.0
Ghana,GHA,2014,19.5837731324669,54678533805.9064,1949.90832923846,15.4896160333318,28041592.0
Ghana,GHA,2015,19.9826505985758,49436806230.4839,1722.77282833606,17.1499695007878,28696068.0
Ghana,GHA,2016,20.8442929192419,56144179397.8516,1912.47991339951,17.4546347070868,29356742.0
Ghana,GHA,2017,19.5617099184239,60385409434.8567,2012.28662641265,12.3719215507048,30008354.0
Ghana,GHA,2018,18.1365503192521,67259353965.6087,2195.32166016377,7.80876516610703,30637585.0
Ghana,GHA,2019,17.323230201462,68352629246.1555,2186.65822682613,7.14364003330857,31258945.0
Ghana,GHA,2020,18.8537826616486,70008243859.8666,2195.45481659987,9.88728956269944,31887809.0
Ghana,GHA,2021,19.6574735227332,79514204730.3979,2445.18662529344,9.9710886750444,32518665.0
Ghana,GHA,2022,19.5136382081198,73919003212.1998,2229.89122654479,31.2558951049016,33149152.0
Ghana,GHA,2023,20.9430687855615,80547146875.9526,2383.90410476221,38.1069656296501,33787914.0
Ghana,GHA,2024,20.5752049341268,83288585604.0268,2419.2518672482,22.8483281157842,34427414.0
Ghana,GHA,2025,21.2758634417128,114209905278.717,3257.1588903576,14.2046755548989,35064272.0
Togo,TGO,2000,14.8052104263334,2106848752.27753,440.420399069497,1.86260595463067,4783722.0
Togo,TGO,2001,15.1644610248179,2093498674.49678,426.883605884489,3.91959133653146,4904144.0
Togo,TGO,2002,15.7403641419633,2410199032.43102,479.438373869587,3.05981857535884,5027130.0
Togo,TGO,2003,14.5723915809563,2987984050.99318,579.728195854724,-0.930000884072214,5154112.0
Togo,TGO,2004,15.4058695261762,3191561508.69088,604.311329116751,0.393078681031669,5281320.0
Togo,TGO,2005,17.3325641240129,3221910408.46516,595.200212014134,6.78292893028314,5413154.0
Togo,TGO,2006,16.9609148487036,3320907721.74508,596.249203137762,2.22897779414027,5569664.0
Togo,TGO,2007,16.9297833739432,3759962853.26476,654.083697666439,0.945673271705214,5748443.0
Togo,TGO,2008,20.68166838543,4578847112.70688,771.351190404751,8.69482814363902,5936138.0
Togo,TGO,2009,21.3483480008088,4721888275.26937,770.172869777254,3.71360592035809,6130946.0
Togo,TGO,2010,21.077801220787,4746386893.22553,750.323421086121,1.44594517430864,6325788.0
Togo,TGO,2011,19.8649717432319,5422439152.10906,834.14671980279,3.5635147290396,6500582.0
Togo,TGO,2012,20.975947911624,5413541649.14901,813.611525037432,2.57718174055848,6653718.0
Togo,TGO,2013,19.1395466909651,6021729629.82454,885.698522723929,1.82539475909162,6798848.0
Togo,TGO,2014,19.3388381580273,6393314707.85456,921.539748631461,0.19087507624975,6937644.0
Togo,TGO,2015,18.9218601496344,5755457836.01866,813.894676975085,2.58500390801595,7071502.0
Togo,TGO,2016,20.385078914717,6071167584.1951,843.114204338675,1.28544847051417,7200884.0
Togo,TGO,2017,20.3155597844213,6387424239.8801,872.076408845752,-0.981889868943119,7324386.0
Togo,TGO,2018,19.6494784155019,7029215766.46367,942.480774393154,0.927755426457183,7458206.0
Togo,TGO,2019,19.5287220037284,6992942458.99419,917.718016777619,0.674652770077525,7619925.0
Togo,TGO,2020,19.1736551821772,7486031561.86885,961.219781201934,1.69928463299399,7788054.0
Togo,TGO,2021,20.550806619999,8541668141.26198,1076.29520076949,4.1862150652352,7936176.0
Togo,TGO,2022,21.2198485197121,8646453099.4124,1071.61539220759,7.96757361617945,8068616.0
Togo,TGO,2023,20.7728226848382,9723300576.72675,1182.32951436696,5.48928568141131,8223850.0
Togo,TGO,2024,21.344334944837,10643440332.2445,1266.08777721447,2.86262074089801,8406558.0
Togo,TGO,2025,20.3258949863422,11889949067.4697,1383.89974929887,0.433183451279109,8591626.0
